         661227 function calls (645803 primitive calls) in 7.544 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    7.546    7.546 C:\Users\User\Desktop\prog-instruments-labs\lab_6\no_optimization.py:55(main)
        1    0.000    0.000    4.807    4.807 C:\Users\User\Desktop\prog-instruments-labs\lab_6\no_optimization.py:38(plot_histogram)
        1    0.000    0.000    4.633    4.633 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\pyplot.py:482(show)
        1    0.000    0.000    4.633    4.633 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backend_bases.py:3430(show)
        1    0.000    0.000    4.540    4.540 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_qt.py:589(start_main_loop)
        1    0.000    0.000    4.537    4.537 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\qt_compat.py:160(_exec)
        1    3.547    3.547    4.537    4.537 {built-in method exec}
        1    2.730    2.730    2.730    2.730 {built-in method builtins.input}
       17    0.000    0.000    0.587    0.035 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_qt.py:451(_draw_idle)
        9    0.000    0.000    0.586    0.065 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\backends\backend_agg.py:381(draw)
        9    0.000    0.000    0.583    0.065 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\artist.py:93(draw_wrapper)
    921/9    0.006    0.000    0.583    0.065 C:\Users\User\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\matplotlib\artist.py:54(draw_wrapper)
